id,seenAt,src,mac,rssi,adv_hex,manufacturer_hex,lacisId,productType,productCode
170533,2025-12-15T03:02:27.590928Z,ble,655BFF131630,-81,,"{76: b'\x10\x078\x1f\x0e\xf8IH('}",3003655BFF1316300096,003,0096
170534,2025-12-15T03:02:27.742310Z,ble,405B5E4EF116,-74,,"{76: b'\x10\x07\'\x1f""\xf2\x03\'8'}",3003405B5E4EF1160096,003,0096
170535,2025-12-15T03:02:28.149911Z,ble,4FEA303A8105,-71,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170536,2025-12-15T03:02:28.476153Z,ble,FEE0BFF7B631,-67,,"{76: b'\x12\x02\x00\x00'}",3003FEE0BFF7B6310096,003,0096
170537,2025-12-15T03:02:28.606141Z,ble,FAD16419171F,-55,,"{76: b'\x12\x02n\x00\x07\x11\x06\x987\x91b\x00\x88\xe0\x06\xc5V\x040\x0c{\xb2\x13'}",3003FAD16419171F0096,003,0096
170538,2025-12-15T03:02:28.606888Z,ble,754AD290FD5B,-60,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170539,2025-12-15T03:02:28.791010Z,ble,E3108271FEC5,-46,"{'0000fcb2-0000-1000-8000-00805f9b34fb': b'\x01\x01j\x01'}","{76: b""\x07\x11\x06jXe\x19`\x82\xd1Fc\xa3\x19\xb2\xc3'6Y""}",3003E3108271FEC50096,003,0096
170540,2025-12-15T03:02:29.006209Z,ble,754AD290FD5B,-59,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170541,2025-12-15T03:02:29.006783Z,ble,E0F7599A3199,-58,,"{76: b'\x12\x02\x00\x00'}",3003E0F7599A31990096,003,0096
170542,2025-12-15T03:02:29.283714Z,ble,754AD290FD5B,-59,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170543,2025-12-15T03:02:29.284276Z,ble,E2AD03F062E0,-52,,"{76: b'\x12\x02\x00\x02'}",3003E2AD03F062E00096,003,0096
170544,2025-12-15T03:02:29.349924Z,ble,78A252BCC003,-62,,"{76: b'\x16\x08\x00\xa9\xb0n\xe40\x86|'}",300378A252BCC0030096,003,0096
170545,2025-12-15T03:02:29.360966Z,ble,EE1F7E72061E,-61,,"{76: b'\x12\x02\x00\x03'}",3003EE1F7E72061E0096,003,0096
170546,2025-12-15T03:02:29.707382Z,ble,754AD290FD5B,-59,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170547,2025-12-15T03:02:29.865876Z,ble,D1A7331E5E52,-81,,"{76: b'\x12\x02\x00\x00'}",3003D1A7331E5E520096,003,0096
170548,2025-12-15T03:02:29.972312Z,ble,714997AA2EE9,-57,,"{76: b'\t\x08\x13\x0c\xc0\xa8ao\x1bX\x16\x08\x00ZUI\xff\x9eu@'}",3003714997AA2EE90096,003,0096
170549,2025-12-15T03:02:29.980881Z,ble,754AD290FD5B,-64,,"{76: b'\x10\x06\x01\x1d#jN('}",3003754AD290FD5B0096,003,0096
170550,2025-12-15T03:02:29.989777Z,ble,4719BD6F081F,-59,,"{76: b'\x0c\x0e\x00\xc1J\x8c6\xd3\x12Id\x13\xb9""]\xfb\x10\x06v\x1d\xad\x16m8'}",30034719BD6F081F0096,003,0096
170551,2025-12-15T03:02:30.021195Z,ble,403647C681C8,-65,,"{76: b'\x10\x06@\x1d\x85\x1f<H'}",3003403647C681C80096,003,0096
